mes;dia;hora;reflectancia;nc;N;Hext;RadSolar
1;4;7.0;0.10026366805808742;-0.0;12.030175527568106;10026.427633442583;21.357500000000073
1;20;13.0;1.0261941941723283;1.0;12.026554085053721;10178.062506342652;441.89
1;20;16.0;0.044941103695795945;0.04024148321330623;12.026554085053721;10178.062506342652;148.68250000000023
1;21;16.0;0.041629007052630104;0.0;12.026249346189635;10189.590762289981;117.33600000000013
1;22;13.0;0.16268065836023538;0.0;12.025936489045597;10201.256943507817;690.7725
1;22;14.0;0.20275453551402386;-0.0;12.025936489045597;10201.256943507817;707.1505
1;22;16.0;0.15491817253680898;1.0;12.025936489045597;10201.256943507817;142.86999999999927
1;22;17.0;0.12803898205299918;-0.0;12.025936489045597;10201.256943507817;332.5225000000001
1;26;13.0;1.143578060467287;1.0;12.02460785118873;10248.921048187141;620.499
1;30;13.0;0.18193304732625276;0.02559539358918731;12.02316530775576;10297.254377870484;701.1525
