anno;mes;goes11;goes12;goes13;goes15
2020;12;;;1.527;
2020;11;;;1.523;
2020;10;;;1.516;
2020;2;;;;1.650
2020;1;;;;1.645
2019;12;;;;1.640
2019;11;;;;1.635
2019;10;;;;1.630
2019;9;;;;1.624
2019;8;;;;1.619
2019;7;;;;1.615
2019;6;;;;1.609
2019;5;;;;1.604
2019;4;;;;1.600
2019;3;;;;1.594
2019;2;;;;1.589
2019;1;;;;1.585
2018;12;;;;1.579
2018;11;;;;1.575
2018;10;;;;1.570
2018;9;;;;1.565
2018;8;;;;1.560
2018;7;;;;1.556
2018;6;;;;1.550
2018;5;;;;1.546
2018;4;;;;1.540
2018;3;;;;1.536
2018;2;;;;1.531
2018;1;;;;1.527
2017;12;;;1.439;1.521
2017;11;;;1.435;1.517
2017;10;;;1.432;1.513
2017;9;;;1.428;1.507
2017;8;;;1.424;1.503
2017;7;;;1.420;1.498
2017;6;;;1.417;1.493
2017;5;;;1.414;1.489
2017;4;;;1.409;1.484
2017;3;;;1.406;1.479
2017;2;;;1.403;1.475
2017;1;;;1.402;1.474
2016;12;;;1.398;1.469
2016;11;;;1.394;1.465
2016;10;;;1.391;1.460
2016;9;;;1.387;1.455
2016;8;;;1.384;1.450
2016;7;;;1.379;1.448
2016;6;;;1.375;1.442
2016;5;;;1.372;1.438
2016;4;;;1.366;1.436
2016;3;;;1.363;1.432
2016;2;;;1.360;1.427
2016;1;;;1.350;1.423
2015;12;;;1.347;1.419
2015;11;;;1.344;1.415
2015;10;;;1.338;1.418
2015;9;;;1.335;1.413
2015;8;;;1.332;1.409
2015;7;;;1.328;1.404
2015;6;;;1.325;1.399
2015;5;;;1.322;1.394
2015;4;;;1.323;1.398
2015;3;;;1.320;1.393
2015;2;;;1.316;1.387
2015;1;;;1.314;1.382
2014;12;;;1.312;1.378
2014;11;;;1.308;1.371
2014;10;;;1.305;1.366
2014;9;;;1.302;1.362
2014;8;;;1.300;1.357
2014;7;;;1.298;1.356
2014;6;;;1.296;1.355
2014;5;;;1.293;1.355
2014;4;;;1.293;1.354
2014;3;;;1.291;1.354
2014;2;;;1.290;1.350
2014;1;;;1.289;1.350
2013;12;;;1.286;1.348
2013;11;;;1.283;1.341
2013;10;;;1.281;1.335
2013;9;;;1.277;1.328
2013;8;;;1.274;1.319
2013;7;;;1.272;1.314
2013;6;;;1.268;1.312
2013;5;;;1.265;1.307
2013;4;;;1.261;1.303
2013;3;;;1.260;1.299
2013;2;;;1.258;1.296
2013;1;;;1.255;1.288
2012;12;;;1.251;1.285
2012;11;;;1.247;1.282
2012;10;;;1.245;1.272
2012;9;;;1.240;1.265
2012;8;;;1.237;1.253
2012;7;;;1.233;1.240
2012;6;;;1.229;1.230
2012;5;;;1.227;1.230
2012;4;;;1.224;1.225
2012;3;;;1.223;1.225
2012;2;;;1.222;1.225
2012;1;;;1.220;1.225
2011;12;;;1.214;1.225
2011;11;;;1.209;1.160
2011;10;1.372;;1.203;
2011;9;1.367;;1.199;
2011;8;1.365;;1.194;
2011;7;1.361;;1.192;
2011;6;1.358;;1.186;
2011;5;1.356;;1.181;
2011;4;1.352;;1.175;
2011;3;1.350;;1.172;
2011;2;1.347;;1.172;
2011;1;1.345;;1.166;
2010;12;1.341;;1.164;
2010;11;1.338;;1.153;
2010;10;1.318;;1.144;
2010;9;1.312;;1.133;
2010;8;1.308;;1.143;
2010;7;1.304;;1.149;
2010;6;1.302;;1.140;
2010;5;1.299;;1.130;
2010;4;1.296;;1.125;
2010;3;1.311;1.525;;
2010;2;1.307;1.519;;
2010;1;1.303;1.513;;
2009;12;1.299;1.507;;
2009;11;1.295;1.500;;
2009;10;1.291;1.495;;
2009;9;1.287;1.486;;
2009;8;1.283;1.482;;
2009;7;1.279;1.476;;
2009;6;1.275;1.470;;
2009;5;1.271;1.464;;
2009;4;1.268;1.458;;
2009;3;1.264;1.452;;
2009;2;1.260;1.447;;
2009;1;1.256;1.441;;
2008;12;1.252;1.435;;
2008;11;1.248;1.429;;
2008;10;1.245;1.423;;
2008;9;1.241;1.417;;
2008;8;1.237;1.412;;
2008;7;1.233;1.406;;
2008;6;1.229;1.400;;
2008;5;1.226;1.394;;
2008;4;1.222;1.389;;
2008;3;1.218;1.383;;
2008;2;1.215;1.378;;
2008;1;1.211;1.372;;
2007;12;1.198;1.366;;
2007;11;1.195;1.361;;
2007;10;1.192;1.355;;
2007;9;1.189;1.350;;
2007;8;1.186;1.344;;
