ann	mes	dia	hora	VelViento	DirViento	Temp	Humedad	Lluvia	RadSolar
2014.0	4.0	7.0	16.0	3.5	3.1	30.1	52.0	0.0	223.2
2014.0	4.0	7.0	17.0	1.5	323.3	30.5	49.7	0.0	180.2
2014.0	4.0	7.0	18.0	6.0	293.4	29.8	47.8	0.0	37.4
2014.0	4.0	8.0	7.0	2.1	92.7	22.5	83.6	0.0	17.5
2014.0	4.0	8.0	10.0	2.3	177.8	26.5	66.4	0.0	345.6
2014.0	4.0	8.0	13.0	4.1	156.2	30.7	50.4	0.0	411.7
2014.0	4.0	8.0	16.0	7.1	53.5	28.9	57.5	1.02	99.1
2014.0	4.0	9.0	7.0	2.0	121.6	21.6	87.2	0.0	42.3
2014.0	4.0	9.0	10.0	2.1	119.8	25.9	68.6	0.0	388.0
2014.0	4.0	9.0	13.0	4.9	96.5	29.6	50.7	0.0	246.4
2014.0	4.0	9.0	16.0	6.1	299.2	30.5	46.5	0.0	310.9
2014.0	4.0	10.0	7.0	2.7	58.5	21.6	87.2	0.0	15.8
2014.0	4.0	10.0	10.0	2.8	93.4	25.4	70.1	0.0	406.3
2014.0	4.0	10.0	13.0	2.0	204.0	30.3	46.4	0.0	538.3
2014.0	4.0	10.0	16.0	4.4	53.3	32.1	42.9	0.0	297.9
2014.0	4.0	11.0	7.0	1.6	143.3	22.8	82.0	0.0	31.9
2014.0	4.0	11.0	10.0	3.0	207.0	26.7	65.7	0.0	323.0
2014.0	4.0	11.0	13.0	3.6	92.3	30.3	49.2	0.0	465.8
2014.0	4.0	11.0	16.0	3.7	349.8	32.7	41.7	0.0	240.6
2014.0	4.0	12.0	7.0	2.7	118.2	22.7	80.8	0.0	32.9
2014.0	4.0	12.0	10.0	3.5	82.1	26.5	66.5	0.0	357.7
2014.0	4.0	12.0	13.0	3.2	108.0	29.1	53.5	0.0	278.1
2014.0	4.0	12.0	16.0	5.8	305.2	27.2	59.6	0.0	88.8
2014.0	4.0	13.0	7.0	1.7	73.6	20.6	86.4	0.0	36.5
2014.0	4.0	13.0	10.0	1.7	134.4	26.1	63.9	0.0	401.9
2014.0	4.0	13.0	13.0	4.3	84.7	30.3	49.2	0.0	497.6
2014.0	4.0	13.0	16.0	5.4	328.6	31.4	42.1	0.0	244.9
2014.0	4.0	13.0	17.0	5.9	313.1	30.8	42.7	0.0	147.5
2014.0	4.0	13.0	18.0	6.5	306.2	29.2	47.2	0.0	41.1
2014.0	4.0	14.0	7.0	1.6	171.4	22.9	79.8	0.0	15.1
2014.0	4.0	14.0	10.0	1.3	137.5	27.0	61.9	0.0	392.3
2014.0	4.0	14.0	13.0	2.0	33.4	30.8	44.5	0.0	519.2
2014.0	4.0	14.0	16.0	5.5	304.4	31.7	41.8	0.0	224.9
2014.0	4.0	15.0	7.0	1.4	260.1	21.0	86.5	16.26	11.1
2014.0	4.0	15.0	10.0	2.3	182.7	21.5	89.7	5.59	47.0
2014.0	4.0	15.0	13.0	4.8	77.2	26.1	65.9	0.0	491.2
2014.0	4.0	15.0	16.0	5.4	34.4	26.7	59.7	0.0	172.2
2014.0	4.0	16.0	7.0	2.2	175.9	20.9	91.0	0.0	20.2
2014.0	4.0	16.0	10.0	0.5	35.9	23.4	78.5	0.0	276.6
2014.0	4.0	16.0	13.0	3.2	74.2	27.3	58.7	0.0	417.4
2014.0	4.0	16.0	16.0	2.5	24.2	29.3	50.1	0.0	282.8
2014.0	4.0	17.0	7.0	2.2	119.5	23.1	83.1	0.0	20.3
2014.0	4.0	17.0	10.0	4.1	206.8	25.9	69.9	0.0	220.2
2014.0	4.0	17.0	13.0	1.9	43.4	28.7	55.5	0.0	564.5
2014.0	4.0	17.0	16.0	6.3	1.5	30.4	47.6	0.0	261.7
2014.0	4.0	18.0	7.0	1.8	171.8	23.2	80.6	0.0	14.3
2014.0	4.0	18.0	10.0	2.5	98.4	26.3	67.5	0.0	377.0
2014.0	4.0	18.0	13.0	3.9	45.2	30.2	50.7	0.0	419.6
2014.0	4.0	18.0	16.0	3.9	326.0	30.4	44.7	0.0	89.9
2014.0	4.0	23.0	10.0	2.7	226.5	26.1	67.5	0.0	351.9
2014.0	4.0	23.0	13.0	4.6	52.9	30.0	54.2	0.0	490.8
2014.0	4.0	23.0	16.0	4.0	217.3	23.8	81.6	0.25	28.5
2014.0	4.0	23.0	18.0	4.9	193.4	21.5	86.3	0.0	21.4
2014.0	4.0	24.0	10.0	1.7	177.0	22.5	86.0	0.0	85.4
2014.0	4.0	24.0	13.0	2.7	165.7	24.0	78.9	0.25	175.4
2014.0	4.0	24.0	16.0	2.4	155.4	24.1	75.6	0.0	72.1
2014.0	4.0	25.0	7.0	1.6	28.9	19.9	92.2	0.0	12.4
2014.0	4.0	25.0	10.0	1.4	146.9	24.6	71.3	0.0	364.2
2014.0	4.0	25.0	13.0	3.0	68.3	28.9	54.3	0.0	509.0
2014.0	4.0	25.0	16.0	3.4	346.0	30.9	48.7	0.0	233.0
2014.0	4.0	26.0	7.0	1.8	349.3	21.2	90.2	0.0	4.2
2014.0	4.0	26.0	10.0	2.3	107.1	23.1	81.2	0.0	206.2
2014.0	4.0	26.0	13.0	3.9	93.0	27.2	62.2	0.0	424.5
2014.0	4.0	26.0	16.0	4.2	40.2	28.7	56.6	0.0	279.9
2014.0	4.0	27.0	7.0	1.9	226.4	21.8	86.7	0.0	7.4
2014.0	4.0	27.0	9.0	2.5	128.0	23.1	83.3	0.0	208.6
2014.0	4.0	27.0	10.0	2.2	184.7	24.5	75.8	0.0	300.0
2014.0	4.0	27.0	11.0	1.5	164.6	25.8	68.4	0.0	336.4
2014.0	4.0	27.0	12.0	1.5	89.6	26.7	64.0	0.0	338.0
2014.0	4.0	27.0	13.0	4.3	88.5	27.1	63.3	0.0	310.8
2014.0	4.0	27.0	14.0	4.1	92.4	28.1	60.7	0.0	390.5
2014.0	4.0	27.0	15.0	3.9	84.7	29.2	56.4	0.0	373.0
2014.0	4.0	27.0	16.0	3.5	62.2	30.1	53.0	0.0	288.8
2014.0	4.0	27.0	17.0	5.5	14.7	30.2	50.3	0.0	133.4
