ann;mes;dia;hora;VelViento;DirViento;Temp;Humedad;Lluvia;RadSolar
2012;1;1;1;0.4;23.5;23.9;72.1;0;0
2012;1;1;2;0.1;126.9;23.2;76.4;0;0
2012;1;1;3;0.5;230.3;23.3;72.8;0;0
2012;1;1;4;0.8;246;23.3;71.5;0;0
2012;1;1;5;0.6;275.7;22.9;71.6;0;0
2012;1;1;6;0.4;44.3;22.3;78.9;0;0
2012;1;1;7;0.2;82.8;22.6;77.9;0;8.5
2012;1;1;8;0.6;121.3;23.3;77;0;155.4
2012;1;1;9;1.4;211.2;25;67.5;0;362
2012;1;1;10;1;129.1;25.9;62.2;0;354.5
2012;1;1;11;1.1;78.1;27.5;56.3;0;694.8
2012;1;1;12;1.3;112;29.1;50.4;0;722.4
2012;1;1;13;1.2;76.1;30.5;46.6;0;793
2012;1;1;14;1.6;42.2;31.3;44.2;0;730.5
2012;1;1;15;1.4;15.3;31.3;45.3;0;394.3
2012;1;1;16;3;290.3;30.8;45.4;0;473.7
2012;1;1;17;3.7;282.8;29.8;48.3;0;312.2
2012;1;1;18;3.8;273.3;28.3;52.1;0;64.1
2012;1;1;19;4.9;271.1;27.2;55.1;0;0
2012;1;1;20;3.8;278;26.9;55.8;0;0
2012;1;1;21;1.4;298.6;26.8;55.9;0;0
2012;1;1;22;1.8;270.5;26.3;59.6;0;0
2012;1;1;23;1.7;239.2;25.8;63.5;0;0
2012;1;2;0;0.7;25.3;24.8;69.9;0;0
2012;1;2;1;1.1;144.7;24.1;73.3;0;0
2012;1;2;2;0.9;157.8;23.5;76.3;0;0
2012;1;2;3;1.6;184;23.5;75;0;0
2012;1;2;4;1.4;175.1;23.3;76.1;0;0
2012;1;2;5;1.6;183.6;23.1;77.1;0;0
2012;1;2;6;0.7;167.5;23.2;75.8;0;0
2012;1;2;7;1.2;173.5;23.2;75.1;0;50.7
2012;1;2;8;1.4;206;24.2;71.1;0;185
2012;1;2;9;1.3;221.2;24.5;69.8;0;62.1
2012;1;2;10;0.7;184.1;24.8;67.9;0;72.7
2012;1;2;11;1.5;32.5;24.7;69.4;0;103.5
2012;1;2;12;2.2;11.8;24.9;67.7;0;182.8
2012;1;2;13;1.8;29.8;25.5;66.3;0;216.1
2012;1;2;14;0.9;35.4;25.8;64.3;0;222.4
2012;1;2;15;0.6;49.6;26.7;61.8;0;254.8
2012;1;2;16;1.7;74.6;26.7;61.8;0;188.8
2012;1;2;17;0.6;317.5;26.5;59;0;166.9
2012;1;2;18;1.6;256.7;26.2;57.6;0;41.4
2012;1;2;19;0.3;23;25.2;66.5;0;0
2012;1;2;20;0.7;16.1;24.4;69.3;0;0
2012;1;2;21;1.1;248.3;24.2;66;0;0
2012;1;2;22;1.8;266.6;23.8;66;0;0
2012;1;2;23;0.6;39.8;23.1;72.5;0;0
2012;1;3;0;0.6;104.5;22.4;75.3;0;0
2012;1;3;1;1;148.8;22.3;74.8;0;0
2012;1;3;2;0.5;199.1;22.1;77.6;0;0
2012;1;3;3;1.9;211.5;21.7;82.9;0;0
2012;1;3;4;2.3;219.3;20.7;89.9;1.02;0
2012;1;3;5;2.4;265.8;20.8;87;0.51;0
2012;1;3;6;0.4;284;21.3;84.4;0;0
2012;1;3;7;0.4;189.9;21;87.5;0;9.9
2012;1;3;8;0.8;155.4;21.4;86.2;0;118.9
2012;1;3;9;0.4;79.9;22.8;78.9;0;192.4
2012;1;3;10;0.3;189.8;24.1;70.9;0;330.8
2012;1;3;11;0.6;110.2;25.6;65.1;0;560.9
2012;1;3;12;1.1;144.8;27.3;58.9;0;632.6
2012;1;3;13;0.9;269.5;27.9;54.9;0;425.8
2012;1;3;14;3.1;281.6;27.6;52.5;0;558.8
2012;1;3;15;3.4;292.3;28.5;46.9;0;650.5
2012;1;3;16;3.4;299.5;27.7;49.2;0;340.5
2012;1;3;17;4.3;280.8;26.9;53.4;0;212.2
2012;1;3;18;3.3;284.3;26.2;56.2;0;57.1
2012;1;3;19;4.2;269.7;25.1;60.1;0;0
2012;1;3;20;3.5;262.1;24.7;60.8;0;0
2012;1;3;21;2.9;256.6;24.4;62.3;0;0
2012;1;3;22;2.1;247.7;24.2;62.6;0;0
2012;1;3;23;2.5;192.6;23.4;72.1;0;0
2012;1;4;0;1.8;175.4;22.5;78.8;0;0
2012;1;4;1;1.8;179.6;21.8;83.4;0.76;0
2012;1;4;2;1.7;190.6;21;88.5;5.59;0
2012;1;4;3;1.7;178;20.4;90.4;0.51;0
